Actors,film_count,average_rating
Ed Harris,3,8.2
Edward Binns,3,8.5
Edward Furlong,2,8.6
Edward James Olmos,2,8.2
Edward Norton,3,8.5
Eijirô Tôno,4,8.3
Elijah Wood,4,8.8
Elissa Knight,2,8.2
Elizabeth Olsen,2,8.4
Elizabeth Perkins,2,8.4
Ellen Burstyn,3,8.4
Emily Mortimer,2,8.2
Emma Thompson,2,8.1
Eric Bana,2,8.1
Erich Redman,2,8.4
Erik von Detten,2,8.3
Erskine Sanford,2,8.2
Erwin Leder,2,8.7
Estelle Harris,2,8.3
Ethan Hawke,3,8.1
Ethan Suplee,2,8.4
Eva Marie Saint,2,8.2
Evan Mirand,2,8.7
Ewen Bremner,2,8.1
Ezra Buzzington,2,8.6
F. Murray Abraham,3,8.3
Faye Dunaway,2,8.1
Flea,2,8.1
Flora Nolan,2,8.5
Florence Pugh,2,8.4
Fortunio Bonanova,2,8.3
Frances Lee McCain,2,8.3
Frances McDormand,2,8.1
Frank Adonis,3,8.3
Frank Albertson,2,8.6
Frank Faylen,2,8.4
Frank Grillo,2,8.2
Frank Harper,2,8.1
Frank Medrano,2,8.9
Frank Oz,4,8.3
Frank Sivero,2,8.8
Frank Stallone,2,8.1
Frank Thomas,2,8.0
Frank Vincent,3,8.3
Frank Welker,3,8.2
Fred MacMurray,2,8.3
G.D. Spradlin,2,8.7
Gael García Bernal,2,8.2
Garret Dillahunt,2,8.1
Garry Pastore,2,8.4
Gary Galone,2,8.1
Gary Oldman,6,8.4
Gary Riley,2,8.3
Gary Sinise,2,8.7
Geeta Agrawal Sharma,2,8.6
Gen Shimizu,3,8.4
Gene Borkan,2,8.6
Geoffrey Rush,2,8.1
George Christy,2,8.4
George Harris,2,8.2
George Lynn,2,8.2
George Martin,2,8.3
George Sanders,2,8.1
Gerald R. Molen,2,8.1
Gerard McSorley,2,8.2
Gerard Murphy,2,8.2
Gianni Russo,2,9.1
Giorgio Cantarini,2,8.6
Glen Powell,2,8.3
Glenn Beck,2,8.3
Godfrey Quigley,2,8.1
Grace Kelly,2,8.4
Grant Mitchell,2,8.1
Gredel Berrios Calladine,2,8.5
Greta Lee,2,8.5
Gunnar Björnstrand,2,8.1
Gunnel Lindblom,2,8.1
Guy Henry,2,8.1
Guy Pearce,2,8.3
Gwenda Deacon,2,8.4
Gwyneth Paltrow,3,8.5
Götz Otto,2,8.6
H.B. Warner,3,8.4
Hailee Steinfeld,2,8.5
Haley Joel Osment,2,8.5
Hank Mann,3,8.5
Harrison Ford,7,8.4
Harry Dean Stanton,4,8.6
Harry Northup,2,8.4
Harry Sinclair,2,9.0
Haruko Toyama,2,8.4
Haruo Suzuki,2,8.5
Haruya Sakamoto,2,8.4
Harve Presnell,2,8.4
Harvey Keitel,4,8.4
Haymon Maria Buttinger,2,8.6
Heidi Schanz,2,8.4
Helena Bonham Carter,2,8.4
Henry Bergman,2,8.3
Henry Daniell,2,8.4
Henry Fonda,3,8.5
Hiroshi Hayashi,2,8.4
Hisashi Igawa,2,8.4
Hugh Jackman,3,8.3
Hugo Weaving,6,8.6
Humphrey Bogart,2,8.4
Ian Holm,4,8.6
Ian McKellen,3,8.9
Ichirô Chiba,3,8.4
Ichirô Nakatani,2,8.4
Ignazio Pappalardo,2,8.8
Ikio Sawamura,2,8.3
Ikuko Yamamoto,2,8.4
Imogen Poots,2,8.1
Irving Bacon,2,8.1
Isao Kimura,3,8.4
J.C. MacKenzie,2,8.4
J.K. Simmons,4,8.4
JD Evermore,2,8.3
Jack Angel,6,8.2
Jack Hawkins,3,8.2
Jack Knight,2,8.1
Jack Lemmon,2,8.2
Jack Nicholson,4,8.4
Jack Purvis,3,8.5
Jack Quaid,2,8.4
Jacob Batalon,3,8.3
Jacqueline Pinol,2,8.5
Jake Johnson,2,8.5
James Coburn,2,8.1
James Cosmo,2,8.2
James Cromwell,2,8.4
James D'Arcy,2,8.4
James Donald,2,8.1
James Earl Jones,3,8.4
James Handy,2,8.1
James Hong,2,8.1
James Parks,2,8.4
James Remar,3,8.3
James Russo,2,8.4
James Stewart,4,8.4
James Woods,2,8.2
Jamie Foxx,2,8.4
Jamie Harris,2,8.3
Jan Munroe,2,8.1
Jan Rabson,4,8.2
Jane Darwell,2,8.1
Jared Leto,2,8.6
Jason Flemyng,2,8.1
Jason Linere-White,2,8.5
Jason Schwartzman,3,8.3
Jason Statham,2,8.1
Javier Bardem,2,8.4
Jay Baruchel,2,8.1
Jed Brophy,2,8.9
Jeff Garlin,2,8.4
Jeff Goldblum,2,8.1
Jeff Hephner,2,8.5
Jeff O'Haco,2,8.4
Jeff Pidgeon,5,8.2
Jeffrey DeMunn,2,9.0
Jena Malone,2,8.1
Jenette Goldstein,2,8.5
Jennifer Connelly,4,8.2
Jennifer Darling,4,8.2
Jeremy Bulloch,2,8.5
Jerome Ranft,2,8.3
Jerry Harte,2,8.4
Jerry Vale,2,8.4
Jess Harnell,2,8.3
Jessica Chastain,2,8.4
Jim Carrey,2,8.2
Jim Cummings,2,8.2
Jim Towers,2,8.2
Jim Ward,3,8.3
Joachim Paul Assböck,2,8.8
Joan Allen,2,8.1
Joan Cusack,2,8.2
Joan Shawlee,2,8.2
Joaquin Phoenix,3,8.3
Jodie Foster,2,8.4
Joe Cortese,2,8.4
Joe Keaton,2,8.1
Joe Pantoliano,2,8.6
Joe Pesci,4,8.3
Joe Ranft,4,8.2
Joe Spinell,3,8.4
Joe Turkel,3,8.3
Joel McCrary,2,8.2
John Bach,2,8.9
John C. McGinley,2,8.4
John Carroll Lynch,3,8.1
John Cazale,3,8.8
John Cenatiempo,2,8.4
John Cygan,3,8.2
John Goodman,2,8.1
John Hollingworth,2,8.3
John Hurt,4,8.2
John Mahon,2,8.1
John Manca,2,8.4
John McConnell,3,8.4
John Morris,2,8.3
John Nolan,2,8.3
John Qualen,2,8.3
John Ratzenberger,12,8.3
John Rhys-Davies,5,8.7
John Slattery,2,8.2
John Standing,2,8.1
John Williams,2,8.3
Johnny Depp,2,8.1
Johnny Williams,2,8.4
Jon Bernthal,2,8.1
Jon Favreau,3,8.3
Jonah Hill,3,8.3
Jordan Marder,2,8.4
Jorma Taccone,2,8.5
Joseph Bono,3,8.3
Joseph Cotten,2,8.2
Joseph Gordon-Levitt,2,8.6
Joseph P. Reidy,3,8.3
Joseph Rye,2,8.1
Josh Brolin,4,8.4
Josh Cooley,2,8.2
Josh Lucas,2,8.1
Josh Pais,2,8.3
Josh Stewart,2,8.6
Juan Pacheco,2,8.5
Juan Pope,2,8.5
Judy Garland,2,8.2
Julian Glover,2,8.4
Julie Delpy,2,8.1
Julie Dreyfus,2,8.3
Jun Tazaki,2,8.3
June Christopher,2,8.5
Kamatari Fujiwara,4,8.4
Karen Gillan,2,8.4
Karl Urban,2,8.9
Katherine Jackson,3,8.9
Katherine Ringgold,2,8.0
Kathleen Byron,2,8.4
Kathleen Fellegara,2,8.2
Kathryn Hahn,2,8.5
Kazuo Katô,2,8.3
Keenan Wynn,2,8.4
Keiichirô Katsumoto,2,8.2
Keiko Tsukamoto,2,8.4
Keith David,4,8.2
Kelly Macdonald,3,8.1
Ken Watanabe,2,8.5
Kenji Kodama,2,8.3
Kenneth Colley,2,8.5
Kenny Baker,5,8.4
Kerry Condon,3,8.3
Kevin Corrigan,2,8.6
Kevin Pollak,2,8.4
Kevin Spacey,4,8.4
Kevin Thompson,2,8.2
Kichijirô Ueda,2,8.4
Kin Sugai,2,8.4
Kiran Shah,2,8.4
Kyôko Kagawa,2,8.2
Kyû Sazanka,2,8.3
Kô Nishimura,2,8.3
Lance Henriksen,2,8.2
Laraine Newman,4,8.2
Larry Brandenburg,2,8.7
Larry Holden,2,8.3
Larry Simms,2,8.4
Laurence Fishburne,2,8.6
Laurie Metcalf,2,8.3
Lawrence Bender,2,8.6
Lawrence Makoare,2,9.0
Lee Dong-yong,2,8.3
Lee Hartley,3,8.9
Lee J. Cobb,3,8.4
Lee Ji-hye,3,8.3
Lee Unkrich,2,8.2
Lee Van Cleef,2,8.5
Leland Orser,2,8.6
Len Cariou,2,8.1
Lennie Loftin,3,8.3
Leo G. Carroll,2,8.2
Leonard Rossiter,2,8.2
Leonardo DiCaprio,6,8.4
Leopoldo Trieste,2,8.8
Letitia Wright,2,8.4
Lex Daniel,2,8.4
Lex Lang,2,8.5
Liam Neeson,3,8.5
Liev Schreiber,2,8.2
Linda Cardellini,2,8.3
Linda Hamilton,2,8.4
Linda Kaye,2,8.6
Lisa Katz,2,8.2
Lisa McAllister,2,8.6
Liv Tyler,3,8.9
Lorenzo Robledo,2,8.5
Lori Alan,2,8.2
Lori Richardson,2,8.0
Lou Beatty Jr.,2,8.4
Lou Romano,2,8.0
Louise Fletcher,2,8.5
Lucas Hedges,2,8.1
Ludger Pistor,2,8.7
Luigi Pistilli,2,8.5
Luna Lauren Velez,2,8.5
Léa Seydoux,3,8.3
M. Emmet Walsh,2,8.1
Maciej Winkler,2,8.8
Mack Miles,2,9.0
Maclean Burke,2,8.4
Mahershala Ali,3,8.4
Maja Ostaszewska,2,8.8
Mal Whyte,2,8.2
Malcolm Tierney,2,8.2
Manoj Mishra,2,8.2
Marc Miles,2,8.2
Marcia Jean Kurtz,2,8.3
Marcus Henderson,2,8.5
Margaret Tyzack,2,8.2
Marianne Muellerleile,2,8.2
Marie-Laure Descoureaux,2,8.4
Marilyn Monroe,2,8.2
Mario Brega,3,8.4
Mario Di Donato,2,8.4
Marion Cotillard,2,8.6
Marisa Tomei,2,8.3
Mark Andrews,2,8.2
Mark Boone Junior,3,8.4
Mark Hamill,3,8.5
Mark Margolis,2,8.3
Mark Rolston,3,8.7
Mark Ruffalo,5,8.3
Marlene Dietrich,2,8.4
Marlon Brando,3,8.6
Martin Balsam,2,8.8
Martin Dunne,2,8.2
Martin Ferrero,2,8.2
Martin McDougall,2,8.4
Martin Murphy,2,8.2
Martin Savage,2,8.1
Martin Scorsese,2,8.1
Martin Semmelrogge,2,8.7
Martin Sheen,3,8.3
Marton Csokas,2,9.0
Mary Gibbs,2,8.1
Masao Shimizu,2,8.4
Mathieu Kassovitz,2,8.2
Matt Damon,6,8.4
Matthew Kimbrough,2,8.2
Matthew McConaughey,2,8.4
Matthew Modine,3,8.3
Maud Hansson,2,8.1
Max von Sydow,4,8.1
Maximiliano Hernández,2,8.2
Melissa Prophet,2,8.4
Melissa Sturm,2,8.5
Michael Bacall,2,8.4
Michael Badalucco,2,8.3
Michael Biehn,2,8.2
Michael Bird,2,8.0
Michael Bowen,2,8.4
Michael Byrne,2,8.2
Michael Byron,2,8.4
Michael Caine,6,8.6
Michael Fassbender,2,8.2
Michael Gilden,2,8.6
Michael James Shaw,2,8.4
Michael Keaton,2,8.2
Michael Madsen,2,8.2
Michael Parks,2,8.4
Michelle Jubilee Gonzalez,2,8.5
Michelle Pfeiffer,2,8.4
Michiko Yamamoto,2,8.4
